Text	Label
The system should be able to run under debug mode.	nonsec
The system should be able to run test credit card transactions.	nonsec
The system should be able to run test shipping orders.	nonsec
The system should be able to create test environment of weborder system.	nonsec
The system hardware shall be fixed and patched via an internet connection.	nonsec
Yoggie shall coordinate on future enhancement and features with our organization.	nonsec
The system shall adhere to the following hardware requirements: 4GB Flash ram chip, 128MB SDRAM, Intel XScale PXA270 520-MHz chipset, OS: Apache web server, Database: MySQL.	nonsec
Inter departments: request must be approved by a DA group member and faculty group member unless it came from a higher level group.	nonsec
Inter faculties transfer: request can be made by any authorised user and approved by faculty group or higher level.	nonsec
Transfer outside university should be approved by the university group.	nonsec
Any administrative level user or inventory user can edit an asset that belongs to its department; same thing for faculty user, or university user; in order to make modification if he is authorised to do it.	nonsec
Any DA group member or authorised inventory group member asset is owned by the department.	nonsec
Any faculty member can add all related departments inventory.	nonsec
Any university group member can add all assets in the inventory.	nonsec
A bulk entry can be used to add many assets.	nonsec
request can be made by any authorised user.	nonsec
After creation a request still pending waiting to be approved by an administrative level user according to that have this authority.	nonsec
An inventory user should check returned asset and update inventory.	nonsec
IT group members can create a new space and modify floor structure when they receive an exception request from any administrative level.	nonsec
Any administration level or authorised inventory group member can display all pending requests waiting for approval from this level and approve those requests.	nonsec
When request is treated user is notified by email.	nonsec
Request is added to the waiting for execution list.	nonsec
Inventory is updated when user receive requested asset.	nonsec
Authentication is made by user name and a password for all users.	nonsec
administrative level working on administration computer.	nonsec
Any administrative level user can delegate another user to execute some or all his authorized actions.	sec
And this user acquires the role of inventory administrator.	nonsec
It is mandatory that learning time is between 2 to 4 hours at maximum, because many task are delegated to working students.	nonsec
Web interface should use clear and consistence terminology in such a way that user; with basic experience on internet and office; find the application easy to use.	nonsec
The Application should be available always at working hours. Any maintenance or backup operation should be conducted out of working time.	nonsec
The Application should be installed in any Microsoft or Unix platform.	nonsec
Web application should available to run on browsers like IE, Firefox, Chrome, Opera or Safari.	nonsec
All user are authenticated by user name and a password.	nonsec
Permission are assigned to user according to their roles.	nonsec
Only IT team member can access and maintain data base servers locally.	nonsec
Query is killed if takes more than 1 min.	nonsec
Backup operation are executed periodically.	nonsec
It is important to design system to facilitated future evolution and facilitate maintenance operations.	nonsec
The MultiMahjongServer will be designed to reside on a central computer (server) that is connected to a TCP/IP network and has a unique IP address.	nonsec
The MultiMahjongServer will allow connections from MultiMahjongClients and communicate with them using IP.	nonsec
The MultiMahjongServer will serve as a node for MultiMahjongClients.	nonsec
That is, it will be able to relay data received from one MultiMahjongClient to other MultiMahjongClients that request it.	nonsec
"The MultiMahjongServer will automate the game initialisation functions (as opposed to the MultiMahjongClient doing them), such as: randomising tile order, randomising seating position and storing the ""Game Info"" database (see Figure 3.1.2)."	nonsec
The MultiMahjongServer will contain a High Scores list with the names and scores of the top MultiMahjong players.	nonsec
The MultiMahjongServer will allow players on MultiMahjongClient programs to chat with each other in real time.	nonsec
The MultiMahjongServer will allow players on MultiMahjongClient programs to modify their own names and icons during gameplay (as opposed to only at the beginning).	nonsec
The MultiMahjongServer will support an architecture whereby all Computer Opponents (CO) required will reside on it instead of on the MultiMahjongClient programs.	nonsec
The MultiMahjongServer will have a graphical user interface with which the administrator of the server can get log information and change game settings.	nonsec
The MultiMahjongServer will be able to save preferences to a file and read from that file at start-up.	nonsec
When the user begins the MultiMahjongClient program, they will be able to choose to create a new multi player game, to create a new single player game, to join an existing multi player game, or to quit the program.	nonsec
That is, it will be able to relay data received from one MultiMahjongClient to other MultiMahjongClients that request it.	nonsec
When a user creates a new multi player game, they must: enter their name, choose an icon from a predetermined list, decide the number of human and computer opponents they want, as any game of Mahjong requires 4 players, the MultiMahjongClient will limit the user to choosing 4 players in tota, set the score limit for winning a hand of Mahjong. When all the necessary human players have joined the game, the user may choose to begin the game.	nonsec
The MultiMahjongClient must send this game initialisation information to the MultiMahjongServer so that the MultiMahjongServer can create a new game.	nonsec
The processing for any Computer Opponents (CO) will be done by the MultiMahjongClient program. In a single player game, the MultiMahjongClient will need to process for 3 COs. In a multi player game with 2 human players, each MultiMahjongClient will support 1 CO. In a multi player game with 3 human players, only 1 of the 3 MultiMahjongClients will support a CO. Obviously, in a multi player game with 4 human players, no CO is required.	nonsec
When a user creates a new single player game, they must: Enter their name. Choose an icon from a predetermined list. Set the score limit for winning a hand of Mahjong.	nonsec
When a user selects the option to join an existing game, the MultiMahjongClient will retrieve a list of any games that still require players from the MultiMahjongServer.	nonsec
When a user wishes to join a multi player game, they must: Enter their name. Choose an icon from a predetermined list. Choose which of the available games they wish to join.	nonsec
The MultiMahjongClient must send this join information to the MultiMahjongServer.	nonsec
In a multi player game, each MultiMahjongClient must retrieve the following data from the MultiMahjongServer: whether it must support a CO.	nonsec
The score limit for a hand, all players' names, icons and seating positions, the tiles of the human and CO (optional) player supported on the MultiMahjongClient.	nonsec
The list of un-started games that the MultiMahjongClient fetches from the MultiMahjongServer will be displayed in such a way that users can see the following information about each game: the name and icon of the player who created the game, the score limit for winning a hand, the number of places that still need to be filled before the game can commence.	nonsec
The MultiMahjongClient will save the user preferences in a file and read them in when the program begins.	nonsec
Users who create a new game will be able to change the ability level of any CO involved in the game.	nonsec
There will be 3 levels available: Beginner, Intermediate and Advanced.	nonsec
Users who create a new game will be able to choose to play different variations of Mahjong rules other than those described in Section 4.3.1.	nonsec
Any user who creates or joins a game will be able to upload their own JPEG or GIF image that they wish to have displayed above their name, if they do not wish to use a preset icon.	nonsec
"The MultiMahjongClient must only allow players to make moves according to the Chinese rules of Mahjong as described in the rulebook, ""How to Play Mah Jong""."	nonsec
The MultiMahjongClient will inform the user whose turn it is to pick up a tile.	nonsec
The variations will include the Cleared Hand variation and the Japanese variation.	nonsec
The following game changes are displayed: Another player picks up a tile from the wall. Another player exposes/reveals a set of tiles. Another player discards a tile.	nonsec
If the configurations of: the current discard, the tiles in a user's hand, and the player whose turn it is, would allow the user to Chow/Pung/Kong/Mahjong under the Chinese rules of Mahjong, the MultiMahjongClient will inform the user that they can do so. If they choose to take this action, then the MultiMahjongClient must send this information to the MultiMahjongServer.	nonsec
User's will be able to pick up a tile from the wall if it is their turn.	nonsec
If they choose to pick up, the MultiMahjongClient must send this information to the MultiMahjongServer.	nonsec
User's will be able to discard a tile if they have picked one up. When they choose to discard, the MultiMahjongClient must send this information to the MultiMahjongServer.	nonsec
The MultiMahjongClient must inform the user if another player is fishing.	nonsec
The MultiMahjongClient must inform the user if another player goes Mahjong. The wind of the round is also updated (if required).	nonsec
The MultiMahjongClient must inform the user if the hand has ended in a draw.	nonsec
The MultiMahjongClient will keep the user's tiles in order.	nonsec
The MultiMahjongClient will play sound effects associated with certain game actions.	nonsec
Users will be able to turn the sound on or off at any stage during the game.	nonsec
Users will have access to the User's Documentation online at any stage during the game.	nonsec
Users will be able to view the High Scores list that is located on the MultiMahjongServer.	nonsec
The MultiMahjongClient will automate the picking up of a tile from the wall if the user has no other option.	nonsec
User's will be able to Undo their last move if playing in single player mode.	nonsec
User's will be able to Save their game if playing in single player mode.	nonsec
User's will be able to chat with each other in real time.	nonsec
User's will be able to change their icons/pictures and names during the game.	nonsec
The game will end when all 4 rounds have been played or if the user chooses to end the game.	nonsec
The user will be able to end the game at any stage of the game. The user will then be able to quit the program or begin/join a new game.	nonsec
The variations will include the Cleared Hand variation and the Japanese variation.	nonsec
Users of any MultiMahjongClient previously connected to the game will have the choice to quit the program or to begin/join a new	nonsec
If a user leaves the game prematurely, a new CO is created on another user's machine to fill their place.	nonsec
This CO will take over the user's current position and circumstance within the game.	nonsec
The variations will include the Cleared Hand variation and the Japanese variation.	nonsec
If a user leaves the game prematurely, a new CO is created on another user's machine to fill their place.	nonsec
This CO will take over the user's current position and circumstance within the game.	nonsec
The CO must play moves according to the Chinese rules of Mahjong.	nonsec
The CO will not have access to the data containing the faces of any tiles in the wall or any concealed tiles in any other players' hands.	nonsec
The CO will have access to the number of tiles in the wall or in a player's hand.	nonsec
The CO will be able to read any player's exposed or revealed hands.	nonsec
The CO will be able to pick up tiles off the wall, discard tiles, reveal Kongs, and Chow/Pung/Kong/Mahjong.	nonsec
The CO will be able to determine what tiles have not been played according to the tiles that have already been discarded, exposed or revealed.	nonsec
"The CO will be able to recognise ""almost finished"" sets of tiles (i.e. 2 tiles in a sequence is an almost finished Chow) and will not discard tiles in such sets."	nonsec
This CO will take over the user's current position and circumstance within the game.	nonsec
The CO will be able to play at 3 different ability levels: Beginner, Intermediate and Advanced.	nonsec
The CO will be able to perform look ahead algorithms to determine its best move in the Intermediate and Advanced levels.	nonsec
The CO will be able to perform calculations at any stage of the game.	nonsec
The CO will be able to play any version of the rules that are specified by the user who creates the game.	nonsec
There will be CO's of different playing styles that the user can choose from.	nonsec
The potential users of the MultiMahjongClient product will be anyone who enjoys playing or is interested in the game of Mahjong.	nonsec
The product is aimed at users who have a basic knowledge how to operate a PC, Macintosh or Unix box (see Section 5.3.1).	nonsec
Users who wish to play multi player Mahjong will not need to have advanced knowledge of TCP/IP networking.	nonsec
This CO will take over the user's current position and circumstance within the game.	nonsec
Prior knowledge of Mahjong rules is not necessary, as the product will be designed for both players with some or no experience.	nonsec
The user of the MultiMahjongServer will most likely have general knowledge of a Web Server environment.	nonsec
The user will need to know how to set-up and operate a TCP/IP server.	nonsec
The user will understand the basic principles of networking and know any networking information associated with the server the MultiMahjongServer program is run on (hostname and IP address).	nonsec
Every error that occurs during program execution can be classified into two types - fatal and nonfatal errors.	nonsec
This CO will take over the user's current position and circumstance within the game.	nonsec
If a nonfatal error occurs, a dialogue box reporting the nature of error will be displayed.	nonsec
As the error is classified 'nonfatal', the user will be able to continue the current game.	nonsec
An option to access the online troubleshooting guide is included in the error dialogue box.	nonsec
If a fatal error occurs, a dialogue box reporting the nature of error will be displayed.	nonsec
The only option to the user is to quit the game. All processes will be cleaned up (if possible) and the program execution will terminate.	nonsec
The MultiMahjong system is to be written using JDK 1.2 (the Java development kit from Sun Microsystems).	nonsec
Multiple languages will be supported using Java's Unicode standard.	nonsec
The software will run on any machine that is capable of running a Java Virtual Machine that supports JDK 1.2 (see Section 5.3).	nonsec
These machines include: a PC operated under Windows 95/98/NT, a Macintosh operated under OS 8, a Unix box operated under Solaris 2.6 or Solaris	nonsec
The minimum system requirements for the product to operate under are: 100 MHz processor. 32 Mb of RAM. 10 MB of uncompressed hard disk. 16-bit video card with minimum resolution of 800 x 600. 28.8 Kbps modem and a TCP/IP connection to the Internet, or a TCP/IP LAN connection. For multi player game only.	nonsec
The CO must respond within 1 minute in both single and multi player modes.	nonsec
The MultiMahjongServer must be able to handle requests in multi player mode of up to 10 simultaneous games (max 40 players).	nonsec
The MultiMahjongClient must be able to calculate possible Chow/Pung/Kong/Mahjong moves within 5 seconds of being informed of the last discard.	nonsec
As the data being exchanged between machines does not contain any private information and is not capable of undermining the system integrity of the computers connected to the MultiMahjongServer, encryption and protection of data are not needed.	sec
System Initialization performs those functions necessary to transform the hardware consisting of the FCP processors, network elements, and on-board I/O devices into a real time system executing tasks with fault tolerant message exchanges.	nonsec
Whenever a power-on reset occurs, System Initialization shall [SRS194] perform the following functions.	nonsec
As part of System Initialization , the Boot ROM shall [SRS234] be configured to, after completing IBIT, call the manufacturer-supplied VxWorks Board Support Package (BSP) initialization software followed by a call to the FTSS System Initialization software.	nonsec
System Initialization shall [SRS014] initiate the watchdog timer.	nonsec
System Initialization shall [SRS292] enable and reset the processor’s watchdog timer such that, in the absence of a fault, the watchdog timer does not expire and reset the processor..	nonsec
System Initialization shall [SRS008] synchronize the FCP virtual group in the presence of a power on skew of 2.5 seconds.	nonsec
System Initialization shall [SRS010] configure the FCP virtual group to use all available synchronized processors, if at least 3 of the 5 FCRs are active.	nonsec
If any of the FCP processors are not synchronized, System Initialization in the surviving triplex shall [SRS177] attempt to sync with the failed FCP.	nonsec
If the failed FCP processor has not synced in 2.5 seconds after the surviving triplex has detected the loss of the FCP, then the surviving triplex shall [SRS178], within 1 second, send a single voted VMEbus reset through the NE to the failed FCP.	nonsec
System Initialization shall [SRS011] align processor state and congruent aligned memory locations. Processor state includes all registers. It also includes those timers used by FTSS.	nonsec
The FCP shall [SRS296] configure ICP simplex virtual groups for each channel in the FCP virtual group.	nonsec
The FCP shall [SRS297] wait up to 15 seconds, after configuring the ICP virtual groups, for communication to start from the ICP.	nonsec
The application can use this time on the ICP to initialize I/O boards.	nonsec
System Initialization shall [SRS215] call an application initialization function to allow the application to (at least) create tasks, create communication sockets, initialize the vehicle mode, and initialize memory alignment allowance.	nonsec
The FCP shall [SRS221], after application initialization is complete, send an FCP Ready Sync message to the ICP.	nonsec
The FCP shall [SRS189] wait up to 2.5 seconds (from the sending of the FCP Ready Sync) for the ICP Ready signal.	nonsec
Note that FTSS will not fail the FCR if this signal is not received within this time.	nonsec
FTSS will wait until the normal ICP presence test fails.	nonsec
The FCP shall [SRS243], if the NEFU ICP fails to send its ICP Ready signal, mask out that ICP, but continue to use the NE.	nonsec
System Initialization shall [SRS199], when all other activities are completed, start the 50 Hz timer and enable the timer interrupt.	nonsec
This will allow the interrupt handler to initiate normal activities.	nonsec
System Initialization, from hardware reset to starting of the 50 Hz timer, shall [SRS015] take no longer than 1.5 minutes.	nonsec
Whenever the 50 Hz timer interrupt occurs, the interrupt handler invokes the scheduler (there are various ways to implement this invocation, such as using a procedure call or by setting an event; no specific implementation is to be inferred).	nonsec
The scheduler allows the application to create lists of tasks that run during a given segment of time, at various rates.	nonsec
"The application can create ""vehicle modes"" to designate a unique segment."	nonsec
"The application can also set up ""rate groups""."	nonsec
Each rate group has some number of tasks associated with it, and it also has a rate for those tasks.	nonsec
These contain the tasks that will run at that rate in different vehicle modes. Some number of rate groups can be associated with a given vehicle mode.	nonsec
When an API call is made to change the vehicle mode, the scheduler will disable the tasks associated with all the rate groups in the old vehicle mode, and enable the tasks associated with all the rate groups in the new vehicle mode.	nonsec
The enabled tasks are then unblocked at the rate given in its associated rate group. An API call is available for the task to call to block itself when it is finished with its cyclic processing.	nonsec
The scheduler shall [SRS017] provide an API call to install a task into a rate group. The API call is invoked during system initialization.	nonsec
The scheduler shall [SRS196] support up to 20 tasks per rate group.	nonsec
The scheduler shall [SRS018] provide an API call to install a rate group into a vehicle mode at system initialization.	nonsec
The scheduler shall [SRS197] support up to 3 rate groups per vehicle mode.	nonsec
The scheduler shall [SRS195] support up to 5 vehicle modes.	nonsec
The FTSS software shall [SRS002] provide the identical services in all vehicle modes.	nonsec
The scheduler shall [SRS019] provide an API call for an FCP application task to alert the scheduler of a vehicle mode change.	nonsec
The scheduler shall [SRS020] complete the change from one vehicle mode to the next within 1.02 seconds.	nonsec
There is up to a full major frame from notification of an impending mode change to acting on it in minor frame 0 of the next major frame plus the time it takes during the next minor frame 0 to switch tasking.	nonsec
The scheduler shall [SRS021] process vehicle mode changes during minor frame 49.	nonsec
The scheduler shall [SRS022] execute cyclic tasks, providing an API call to allow the application to block until its next iteration.	nonsec
The scheduler shall [SRS024] execute as the highest priority FTSS or application task in the system.	nonsec
The scheduler shall [SRS025] keep a minor frame count from 0 to 49.	nonsec
The scheduler shall [SRS027] give tasks priority values according to their rate - the higher the rate, the higher the priority.	nonsec
The scheduler shall [SRS028] detect 50 Hz, 10 Hz and 1 Hz rate group over-runs.	nonsec
The scheduler shall [SRS029] report rate group over-runs to the application via an API service for incorporation in the telemetry data stream.	nonsec
The scheduler shall [SRS216] provide an API call to specify which task was running within the rate group which over-ran.	nonsec
The scheduler shall [SRS030] provide a mechanism to inform a task when it did not complete during the previous frame and restart it at the beginning of the task.	nonsec
The scheduler shall [SRS181] set the 50 Hz interval timer to a count down value so as to cause the next minor frame interrupt at 20 msec from the previous interrupt congruently in all operational FCPs.	nonsec
The scheduler shall [SRS032] issue a 50 Hz interrupt to the ICPs by means of a VMEbus IRQ5 interrupt.	nonsec
The scheduler shall [SRS191] issue the 50 Hz interrupt to all the ICPs with a skew no greater than 330 microseconds.	nonsec
The scheduler shall [SRS033] send the minor frame number, vehicle mode, mission elapsed time (MET), and separation elapsed time (SEP) to the ICP prior to the 50 Hz interrupt. Note: The NE unique identifier (NE ID) is available to the ICPs via the ftss_my_icp() API call.	nonsec
The scheduler shall [SRS034] take no longer than 1 millisecond to execute scheduler and Time Services FTSS overhead tasks in each rate group.	nonsec
This means that the time from the 50 Hz timer interrupt to the start of the first task in the 50 Hz rate group will be less than or equal to 1 millisecond, assuming 27 packets of data need to be delivered.	nonsec
The FTSS software shall [SRS278] provide an API call that provides the application program the minor frame number.	nonsec
The behavior of synchronous tasks executed by the scheduler must be deterministic.	nonsec
The scheduler shall [SRS035] provide rate groups that execute at 50 Hz, 10 Hz and 1 Hz., with a drift rate no greater than 50 microseconds per second, and with a jitter no greater than 330 microseconds.	nonsec
The scheduler shall [SRS037] provide a method to schedule tasks at a set rate and in a set order within the rate group.	nonsec
The scheduler shall [SRS198] execute all the tasks in each of the rate groups that have been installed in the current mode.	nonsec
The scheduler shall [SRS039] rely on the order used in adding tasks to a rate group to determine the task priorities.	nonsec
"The scheduler shall [SRS042] provide a method for a task to be scheduled as a 50 Hz ""helper"" task for source congruency input exchanges and voted output exchanges that starts in a particular minor frame but runs only during every 5th or 50th minor frame, effectively running at a lower, sub-rate, 10 Hz or 1 Hz, respectively."	nonsec
The scheduler shall [SRS270] provide a task deadline capability that allows the application to specify which minor frame a task should start in and finish in.	nonsec
All tasks in rate groups and their corresponding schedules for all vehicle modes will be setup at system initialization.	nonsec
Tasks in a rate group must suspend on a scheduler API call at the top of their execution loop.	nonsec
For purposes of handling exceptions, exceptions are defined as either software or hardware exceptions.	nonsec
Software exceptions are defined as those mapped into VxWorks signals. All other exceptions are classified as hardware exceptions.	nonsec
Upon the occurrence of an exception of either kind (hardware or software), the FCP shall [SRS172] make the error type available to the application, via an API service, for incorporation in the telemetry stream and include all context data relevant to the exception, namely the contents of the Machine State Register (MSR), and the machine status Save/Restore Registers (SRR0 & SRR1).	nonsec
The scheduler shall [SRS031] provide a mechanism for a task optionally to define a user written software-exception-handling routine that runs in the context of the task.	nonsec
For hardware exceptions and reserved exceptions, the FTSS shall [SRS276] make the error type and its context data available to the application, then return from the exception handler to the task that was running when the exception occurred.	nonsec
For software exceptions occurring within the FTSS, the FTSS shall [SRS277] make the error type and its context data available to the application, then restart the offending task at its beginning.	nonsec
For other software exceptions, regardless of whether or not a user written exception handling routine is invoked, if an exception occurs, the scheduler shall [SRS173], after making available the error type and context data to the application, resume processing (after the exception-handling routine runs, if provided) at the initialization point of the offending task.	nonsec
For software exceptions occurring during Startup, FTSS shall [SRS301] issue a VME reset to the FCR in which the exception occurred.	nonsec
There are two types of memory violations that might occur: 1) as a result of a hardware fault or SEU and 2) as a result of a common mode (usually, software) error.	nonsec
Memory violations that result from random hardware faults will be detected in the same way as any other hardware fault is detected in the FTPP and don't require memory protection for them to be detected and dealt with.	nonsec
In the second case, NASA has determined that however the memory protection function is implemented, the policy will be to restart the task that is executing when a memory violation (exception) is detected.	nonsec
The watchdog timer and ground based testing will uncover some but not all of the possible memory faults.	nonsec
The FTSS communication services provide message-passing capabilities that are layered on top of the packet based network element communication hardware.	nonsec
Messages are contiguous blocks of variable length data that are transferred from one task to another. Messages are addressed with a global unique communication identifier that routes them to the appropriate virtual group (VG) and socket.	nonsec
Associated with the message are descriptor fields describing the sender, receiver, the type of message, and how the message is to be exchanged.	nonsec
The unique identifier for an end point consists of a virtual group identifier and a socket identifier.	nonsec
The sending and receiving end points may live on the same virtual group or on different virtual groups.	nonsec
"Communication Services are divided into two constituent capabilities: ""Synchronous"" message services and ""Immediate"" message services, ""Synchronous"" message services send and receive data on rate group frame boundaries; thus allowing safe inter-rate group communication, ""Synchronous"" message services are provided by message queue sockets, ""Immediate"" message services unlike ""synchronous"" message services initiate a message transfer immediately, when used for inter-VG communication, ""immediate"" message services interface directly with the Byzantine Resilient Virtual Circuit (BRVC) abstraction level communications interface and force an immediate network element access, ""Immediate"" message passing between virtual groups is restricted to the highest priority rate group on the FCP, this restriction does not apply to the ICPs, ""Immediate"" message passing within a virtual group is not restricted to the highest rate group, but must be used carefully by the application to prevent desynchronization, ""Pipe"" sockets provide ""Immediate"" message services."	nonsec
Communication services provide a message passing capability that guarantees congruent use of the network element among the members of a virtual group under fault free conditions.	nonsec
"Communication services shall [SRS047] provide ""synchronous"" message passing services in the form of ""message queues""."	nonsec
"Communication services shall [SRS048] provide ""immediate"" message passing services in the form of ""pipes""."	nonsec
"""Pipes"" provide fast data throughput between virtual groups or within a virtual group when minimal data latency is necessary."	nonsec
"Communication services shall [SRS049] provide the capability to ""broadcast"" messages to all virtual groups."	nonsec
"Communication services shall [SRS050] restrict the use of ""immediate"" message passing services between virtual groups (from FCP to ICP) to tasks running in the highest rate group on the FCP."	nonsec
This restriction does NOT apply to the ICPs since they are running as simplex VGs.	nonsec
Communication services shall [SRS051] detect message passing between application tasks living on the same virtual group and bypass the usage of the network element.	nonsec
Communication services shall [SRS052] route messages to the proper virtual group(s) and socket.	nonsec
Communication services shall [SRS053] deliver messages in the same order at each member of a virtual group.	nonsec
Communication services shall [SRS054] perform synchronous message passing at rate group frame boundaries.	nonsec
This restriction does NOT apply to the ICPs since they are running as simplex VGs.	nonsec
Communication services shall [SRS235] detect a babbling NE or ICP within 20 milliseconds of the receipt of the first erroneous packet.	nonsec
FTSS shall [SRS255] mask out a babbling NE or ICP within 40 milliseconds after it is detected.	nonsec
Sockets are the end points of FTSS communication, which provide a transparent interface to the BRVC communications layer and a useful interface to the application layer.	nonsec
"Sockets used for ""synchronous"" message passing behave differently than those used for ""immediate"" message."	nonsec
Sockets maintain the buffers between the underlying packet based communication primitives that directly access the network elements and the message based.	sec
"Sockets used for ""synchronous"" message passing behave differently than those used for ""immediate"" message passing."	nonsec
